t,aggregate_A_t
1145,0.5113333333333333
1146,0.5066666666666667
1147,0.515
1148,0.5226666666666666
1149,0.5113333333333333
1150,0.5083333333333333
1151,0.4756666666666667
1152,0.48833333333333334
1153,0.478
1154,0.47933333333333333
1155,0.476
1156,0.49033333333333334
1157,0.48933333333333334
1158,0.49166666666666664
1159,0.481
1160,0.492
1161,0.503
1162,0.5076666666666667
1163,0.5073333333333333
1164,0.49266666666666664
1165,0.492
1166,0.483
1167,0.49066666666666664
1168,0.48933333333333334
1169,0.48633333333333334
1170,0.49733333333333335
1171,0.5116666666666667
1172,0.5003333333333333
1173,0.5106666666666667
1174,0.5033333333333333
1175,0.51
1176,0.49866666666666665
1177,0.5216666666666666
1178,0.5156666666666667
1179,0.5076666666666667
1180,0.511
1181,0.5043333333333333
1182,0.49933333333333335
1183,0.49866666666666665
1184,0.498
1185,0.501
1186,0.504
1187,0.5126666666666667
1188,0.5066666666666667
1189,0.5013333333333333
1190,0.499
1191,0.5013333333333333
1192,0.491
1193,0.49033333333333334
1194,0.49
1195,0.49566666666666664
1196,0.48966666666666664
1197,0.5083333333333333
1198,0.507
1199,0.5126666666666667
1200,0.502
1201,0.49566666666666664
1202,0.498
1203,0.48533333333333334
1204,0.48133333333333334
1205,0.48133333333333334
1206,0.5016666666666667
1207,0.5036666666666667
1208,0.487
1209,0.47733333333333333
1210,0.47933333333333333
1211,0.479
1212,0.5006666666666667
1213,0.5043333333333333
1214,0.5033333333333333
1215,0.5043333333333333
1216,0.5106666666666667
1217,0.5
1218,0.501
1219,0.5223333333333333
1220,0.5166666666666667
1221,0.5103333333333333
1222,0.5186666666666667
1223,0.51
1224,0.5066666666666667
1225,0.5013333333333333
1226,0.49233333333333335
1227,0.4826666666666667
1228,0.497
1229,0.49566666666666664
1230,0.49166666666666664
1231,0.51
1232,0.5156666666666667
1233,0.5076666666666667
1234,0.5153333333333333
1235,0.49933333333333335
1236,0.48333333333333334
1237,0.496
1238,0.5076666666666667
1239,0.49366666666666664
1240,0.49266666666666664
1241,0.491
1242,0.49933333333333335
1243,0.514
1244,0.5016666666666667
1245,0.49733333333333335
1246,0.48033333333333333
1247,0.494
1248,0.495
1249,0.5073333333333333
1250,0.503
1251,0.5013333333333333
1252,0.504
1253,0.5133333333333333
1254,0.5033333333333333
1255,0.5003333333333333
