t,q_t,p_t
832,-0.4582746851292961,-0.8887995068415719
833,-0.46713976646345534,-0.8841724345836082
834,-0.47595813382096824,-0.879456945082186
835,-0.48472890536509905,-0.8746535098862556
836,-0.49345120401869336,-0.8697626093393366
837,-0.5021241575518858,-0.8647847325314837
838,-0.510746898669323,-0.8597203772503776
839,-0.5193185650968933,-0.8545700499315466
840,-0.5278382996679539,-0.8493342656077224
841,-0.5363052504090478,-0.8440135478573374
842,-0.5447185706251007,-0.8386084287521667
843,-0.553077418984091,-0.8331194488041207
844,-0.5613809596011831,-0.8275471569111943
845,-0.5696283621223149,-0.8218921103025768
846,-0.5778188018072345,-0.8161548744829291
847,-0.5859514596119735,-0.8103360231758331
848,-0.5940255222707512,-0.8044361382664195
849,-0.6020401823773018,-0.7984558097431792
850,-0.6099946384656147,-0.7923956356389646
851,-0.6178880950900811,-0.7862562219711862
852,-0.6257197629050385,-0.7800381826812105
853,-0.6334888587437053,-0.7737421395729668
854,-0.6411946056964978,-0.7673687222507658
855,-0.6488362331887206,-0.7609185680563397
856,-0.6564129770576246,-0.754392322005108
857,-0.6639240796288228,-0.7477906367216757
858,-0.6713687897920582,-0.7411141723745712
859,-0.6787463630763143,-0.7343635966102293
860,-0.6860560617242628,-0.7275395844862264
861,-0.6932971547660388,-0.7206428184037748
862,-0.7004689180923382,-0.7136739880394828
863,-0.7075706345268284,-0.706633790276387
864,-0.7146015938978659,-0.6995229291342635
865,-0.7215610931095137,-0.6923421156992265
866,-0.7284484362118504,-0.6850920680526197
867,-0.735262934470566,-0.6777735111992076
868,-0.7420039064358346,-0.6703871769946755
869,-0.7486706780104595,-0.6629338040724441
870,-0.7552625825172834,-0.6554141377698054
871,-0.7617789607658556,-0.6478289300533897
872,-0.7682191611183512,-0.6401789394439686
873,-0.774582539554735,-0.6324649309406032
874,-0.7808684597371633,-0.6246876759441436
875,-0.7870762930736179,-0.6168479521800897
876,-0.7932054187807651,-0.6089465436208178
877,-0.7992552239460342,-0.6009842404071838
878,-0.8052251035889088,-0.592961838769509
879,-0.8111144607214243,-0.5848801409479574
880,-0.8169227064078679,-0.5767399551123109
881,-0.8226492598236707,-0.5685420952811532
882,-0.828293548313491,-0.5602873812404674
883,-0.83385500744848,-0.5519766384616576
884,-0.8393330810827241,-0.5436106980190015
885,-0.8447272214088599,-0.5351903965065435
886,-0.8500368890128549,-0.5267165759544349
887,-0.8552615529279486,-0.5181900837447309
888,-0.8604006906877495,-0.5096117725266524
889,-0.8654537883784816,-0.5009825001313212
890,-0.8704203406903759,-0.4923031294859769
891,-0.8752998509682012,-0.48357452852768396
892,-0.8800918312609296,-0.4747975701165383
893,-0.8847958023705319,-0.46597313194838097
894,-0.8894112938998971,-0.4571020964670288
895,-0.8939378442998724,-0.44818535077602994
896,-0.8983750009154178,-0.4392237865499535
897,-0.9027223200308715,-0.43021829994522204
898,-0.9069793669143221,-0.4211697915104961
899,-0.9111457158610814,-0.4120791660966191
900,-0.9152209502362545,-0.4029473327661324
901,-0.919204662516404,-0.39377520470236915
902,-0.9230964543303019,-0.38456369911813565
903,-0.9268959364987667,-0.37531373716399036
904,-0.9306027290735817,-0.36602624383612864
905,-0.9342164613754893,-0.35670214788388327
906,-0.9377367720312594,-0.3473423817168495
907,-0.9411633090098264,-0.33794788131164405
908,-0.9444957296574923,-0.32851958611830745
909,-0.9477337007321925,-0.31905843896635905
910,-0.9508768984368196,-0.30956538597051403
911,-0.9539250084516029,-0.3000413764360719
912,-0.956877725965541,-0.2904873627639862
913,-0.9597347557068826,-0.280904300355624
914,-0.9624958119726535,-0.27129314751722633
915,-0.9651606186572271,-0.26165486536407695
916,-0.967728909279935,-0.2519904177243912
917,-0.9702004270117149,-0.24230077104293293
918,-0.9725749247007937,-0.2325868942843704
919,-0.9748521648974023,-0.22284975883637942
